------------------------------,--------------------
www.electricblue.eu, Portugal
------------------------------,--------------------
EnvLogger version, T2.4
EnvLogger Viewer version, 1.18
downloading device type, iphone
device, iPhone
downloading mode, manual
------------------------------,--------------------
serial number, 042A 9E00 EA0E 01
custom name, 96
temperature, degrees Celsius
time zone, UTC+0000
sampling resolution, 0.1
samples, 4841
time diff [logger-smartphone](sec), 47
lat, 48.596816
long, -123.144764
accuracy (m), 13.6
------------------------------,--------------------
time,temp
2025-06-25 05:20:01,11.1
2025-06-25 05:25:01,11.1
2025-06-25 05:30:01,11.1
2025-06-25 05:35:01,11.1
2025-06-25 05:40:01,11.1
2025-06-25 05:45:01,11.1
2025-06-25 05:50:01,11.1
2025-06-25 05:55:01,11.1
2025-06-25 06:00:01,11.5
2025-06-25 06:05:01,12.1
2025-06-25 06:10:01,12.2
2025-06-25 06:15:01,11.9
2025-06-25 06:20:01,11.8
2025-06-25 06:25:01,11.5
2025-06-25 06:30:01,11.4
2025-06-25 06:35:01,11.3
2025-06-25 06:40:01,11.5
2025-06-25 06:45:01,11.8
2025-06-25 06:50:01,12.0
2025-06-25 06:55:01,12.1
2025-06-25 07:00:01,12.3
2025-06-25 07:05:01,12.4
2025-06-25 07:10:01,12.4
2025-06-25 07:15:01,12.3
2025-06-25 07:20:01,12.2
2025-06-25 07:25:01,12.2
2025-06-25 07:30:01,12.2
2025-06-25 07:35:01,12.2
2025-06-25 07:40:01,12.2
2025-06-25 07:45:01,12.1
2025-06-25 07:50:01,12.2
2025-06-25 07:55:01,12.2
2025-06-25 08:00:01,12.1
2025-06-25 08:05:01,12.1
2025-06-25 08:10:01,12.1
2025-06-25 08:15:01,12.0
2025-06-25 08:20:01,11.9
2025-06-25 08:25:01,11.9
2025-06-25 08:30:01,11.9
2025-06-25 08:35:01,11.9
2025-06-25 08:40:01,11.9
2025-06-25 08:45:01,12.0
2025-06-25 08:50:01,12.1
2025-06-25 08:55:01,12.1
2025-06-25 09:00:01,11.9
2025-06-25 09:05:01,11.8
2025-06-25 09:10:01,11.8
2025-06-25 09:15:01,11.9
2025-06-25 09:20:01,11.9
2025-06-25 09:25:01,11.8
2025-06-25 09:30:01,11.9
2025-06-25 09:35:01,11.9
2025-06-25 09:40:01,11.9
2025-06-25 09:45:01,11.5
2025-06-25 09:50:01,11.2
2025-06-25 09:55:01,11.0
2025-06-25 10:00:01,11.1
2025-06-25 10:05:01,10.9
2025-06-25 10:10:01,10.9
2025-06-25 10:15:01,10.9
2025-06-25 10:20:01,10.9
2025-06-25 10:25:01,11.6
2025-06-25 10:30:01,11.7
2025-06-25 10:35:01,11.9
2025-06-25 10:40:01,11.8
2025-06-25 10:45:01,11.5
2025-06-25 10:50:01,11.8
2025-06-25 10:55:01,11.9
2025-06-25 11:00:01,12.0
2025-06-25 11:05:01,12.0
2025-06-25 11:10:01,12.2
2025-06-25 11:15:01,12.2
2025-06-25 11:20:01,12.3
2025-06-25 11:25:01,12.3
2025-06-25 11:30:01,12.3
2025-06-25 11:35:01,12.4
2025-06-25 11:40:01,12.4
2025-06-25 11:45:01,12.5
2025-06-25 11:50:01,12.4
2025-06-25 11:55:01,12.5
2025-06-25 12:00:01,12.6
2025-06-25 12:05:01,12.7
2025-06-25 12:10:01,12.6
2025-06-25 12:15:01,12.6
2025-06-25 12:20:01,12.6
2025-06-25 12:25:01,12.6
2025-06-25 12:30:01,12.5
2025-06-25 12:35:01,12.4
2025-06-25 12:40:01,12.4
2025-06-25 12:45:01,12.4
2025-06-25 12:50:01,12.4
2025-06-25 12:55:01,12.4
2025-06-25 13:00:01,12.3
2025-06-25 13:05:01,12.3
2025-06-25 13:10:01,12.3
2025-06-25 13:15:01,12.2
2025-06-25 13:20:01,12.3
2025-06-25 13:25:01,12.4
2025-06-25 13:30:01,12.4
2025-06-25 13:35:01,12.6
2025-06-25 13:40:01,12.9
2025-06-25 13:45:01,13.0
2025-06-25 13:50:01,13.1
2025-06-25 13:55:01,13.0
2025-06-25 14:00:01,13.1
2025-06-25 14:05:01,13.0
2025-06-25 14:10:01,13.0
2025-06-25 14:15:01,13.2
2025-06-25 14:20:01,13.2
2025-06-25 14:25:01,13.2
2025-06-25 14:30:01,13.2
2025-06-25 14:35:01,13.2
2025-06-25 14:40:01,13.5
2025-06-25 14:45:01,13.4
2025-06-25 14:50:01,13.4
2025-06-25 14:55:01,13.5
2025-06-25 15:00:01,13.7
2025-06-25 15:05:01,14.0
2025-06-25 15:10:01,14.2
2025-06-25 15:15:01,14.4
2025-06-25 15:20:01,14.6
2025-06-25 15:25:01,15.0
2025-06-25 15:30:01,14.9
2025-06-25 15:35:01,14.8
2025-06-25 15:40:01,14.7
